conuty,state,fips,rate
"Aleutians East, AK",AK,2013,
"Aleutians West, AK",AK,2016,
"Bethel, AK",AK,2050,
"Bristol Bay, AK",AK,2060,
"Denali, AK",AK,2068,
"Dillingham, AK",AK,2070,
"Haines, AK",AK,2100,
"Hoonah-Angoon, AK",AK,2105,
"Lake and Peninsula, AK",AK,2164,
"Nome, AK",AK,2180,
"North Slope, AK",AK,2185,
"Northwest Arctic, AK",AK,2188,
"Skagway, AK",AK,2230,
"Southeast Fairbanks, AK",AK,2240,
"Wade Hampton, AK",AK,2270,
"Yakutat, AK",AK,2282,
"Yukon-Koyukuk, AK",AK,2290,
"Nevada, AR",AR,5099,
"Alpine, CA",CA,6003,
"Costilla, CO",CO,8023,
"Custer, CO",CO,8027,
"Dolores, CO",CO,8033,
"Gilpin, CO",CO,8047,
"Hinsdale, CO",CO,8053,
"Jackson, CO",CO,8057,
"Mineral, CO",CO,8079,
"Saguache, CO",CO,8109,
"San Juan, CO",CO,8111,
"Washington, CO",CO,8121,
"Baker, GA",GA,13007,
"Chattahoochee, GA",GA,13053,
"Echols, GA",GA,13101,
"Glascock, GA",GA,13125,
"Quitman, GA",GA,13239,
"Talbot, GA",GA,13263,
"Taliaferro, GA",GA,13265,
"Kalawao, HI",HI,15005,
"Adams, ID",ID,16003,
"Boise, ID",ID,16015,
"Camas, ID",ID,16025,
"Clark, ID",ID,16033,
"Lincoln, ID",ID,16063,
"Gallatin, IL",IL,17059,
"Stark, IL",IL,17175,
"Warren, IN",IN,18171,
"Keokuk, IA",IA,19107,
"Chase, KS",KS,20017,
"Doniphan, KS",KS,20043,
"Kingman, KS",KS,20095,
"Stafford, KS",KS,20185,
"Wabaunsee, KS",KS,20197,
"Wichita, KS",KS,20203,
"Robertson, KY",KY,21201,
"Cameron, LA",LA,22023,
"Keweenaw, MI",MI,26083,
"Issaquena, MS",MS,28055,
"DeKalb, MO",MO,29063,
"Holt, MO",MO,29087,
"Ralls, MO",MO,29173,
"Schuyler, MO",MO,29197,
"Carter, MT",MT,30011,
"Garfield, MT",MT,30033,
"Golden Valley, MT",MT,30037,
"Granite, MT",MT,30039,
"Judith Basin, MT",MT,30045,
"McCone, MT",MT,30055,
"Musselshell, MT",MT,30065,
"Petroleum, MT",MT,30069,
"Prairie, MT",MT,30079,
"Sheridan, MT",MT,30091,
"Treasure, MT",MT,30103,
"Wibaux, MT",MT,30109,
"Arthur, NE",NE,31005,
"Banner, NE",NE,31007,
"Blaine, NE",NE,31009,
"Frontier, NE",NE,31063,
"Gosper, NE",NE,31073,
"Grant, NE",NE,31075,
"Hayes, NE",NE,31085,
"Hitchcock, NE",NE,31087,
"Hooker, NE",NE,31091,
"Keya Paha, NE",NE,31103,
"Kimball, NE",NE,31105,
"Logan, NE",NE,31113,
"Loup, NE",NE,31115,
"McPherson, NE",NE,31117,
"Rock, NE",NE,31149,
"Sioux, NE",NE,31165,
"Stanton, NE",NE,31167,
"Thomas, NE",NE,31171,
"Wheeler, NE",NE,31183,
"Esmeralda, NV",NV,32009,
"Eureka, NV",NV,32011,
"Storey, NV",NV,32029,
"Catron, NM",NM,35003,
"Harding, NM",NM,35021,
"Hidalgo, NM",NM,35023,
"Mora, NM",NM,35033,
"Hamilton, NY",NY,36041,
"Camden, NC",NC,37029,
"Billings, ND",ND,38007,
"Burke, ND",ND,38013,
"Golden Valley, ND",ND,38033,
"Oliver, ND",ND,38065,
"Sheridan, ND",ND,38083,
"Sioux, ND",ND,38085,
"Slope, ND",ND,38087,
"Steele, ND",ND,38091,
"Beaver, OK",OK,40007,
"Sherman, OR",OR,41055,
"Wheeler, OR",OR,41069,
"Aurora, SD",SD,46003,
"Buffalo, SD",SD,46017,
"Campbell, SD",SD,46021,
"Corson, SD",SD,46031,
"Dewey, SD",SD,46041,
"Hamlin, SD",SD,46057,
